URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,4,5,-0.11111109876543349,0.019867549625016447,29.0,0.8234482758620689,11.929379310344828,29.0,597,437,1226,4,0.001379310344827586
1,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,8,6,0.14285713265306196,0.03562340957856639,22.103448275862068,0.8252730109204368,9.171488514713003,22.103448275862068,529,389,1138,2,0.0015600624024961
2,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,30,20,0.1999999960000001,0.04401408446829746,23.532467532467532,0.8040838852097131,9.734620567070898,23.532467532467532,1457,1087,3218,13,0.0005518763796909492
3,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,6,1,0.7142856122449125,0.02621722836622761,28.0625,0.8307349665924276,11.55729398663697,28.0625,373,263,813,1,0.0022271714922048997
4,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,20,15,0.14285713877551032,0.048814504813368895,18.235294117647058,0.785483870967742,7.60831119544592,18.235294117647058,974,705,2162,27,0.0008064516129032258
5,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,16,12,0.14285713775510223,0.038781163381189525,23.0,0.7879325643300799,9.515173025732032,23.0,888,703,2073,3,0.0008873114463176575
6,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,18,24,-0.1428571394557824,0.04635761584287239,21.80952380952381,0.8144104803493449,9.049573715949263,21.80952380952381,1119,904,2540,1,0.000727802037845706
7,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,41,11,0.5769230658284026,0.04517810595553596,22.835443037974684,0.8215077605321508,9.462780319402734,22.835443037974684,1482,1134,3248,8,0.0005543237250554324
8,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,45,12,0.5789473582640815,0.05367231633364188,20.175,0.8531598513011153,8.411263940520447,20.175,1377,1018,2908,3,0.0006195786864931846
9,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,8,15,-0.3043478128544429,0.06571428552653061,16.555555555555557,0.7936241610738255,6.9396718866517535,16.555555555555557,473,338,1014,2,0.0016778523489932886
10,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,9,1,0.7999999200000081,0.024213075001905386,19.147058823529413,0.82642089093702,7.989391885786573,19.147058823529413,538,399,1233,2,0.0015360983102918587
11,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,19,38,-0.33333332748538025,0.07354838700187305,18.2987012987013,0.8119233498935415,7.644249859437936,18.2987012987013,1144,760,2367,32,0.0007097232079489
12,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,18,15,0.09090908815427007,0.04236200251301412,20.10144927536232,0.7844268204758471,8.354350438335267,20.10144927536232,1088,775,2269,5,0.0007209805335255948
13,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,12,7,0.26315788088642733,0.05740181251540238,21.40740740740741,0.8200692041522492,8.890990644623864,21.40740740740741,474,327,1054,5,0.0017301038062283738
14,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,13,36,-0.4693877455226991,0.06186868679056984,14.757894736842106,0.81169757489301,6.227836924694047,14.757894736842106,1138,775,2388,6,0.0007132667617689016
15,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,12,6,0.3333333148148158,0.03237410066119766,26.63888888888889,0.8018769551616267,10.976306337620208,26.63888888888889,769,530,1603,6,0.0010427528675703858
16,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,24,18,0.1428571394557824,0.03574468082064282,23.337662337662337,0.8302726766833611,9.66717400573828,23.337662337662337,1492,1151,3376,1,0.0005564830272676684
17,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,26,32,-0.10344827407847804,0.0710784312854431,17.530864197530864,0.8035211267605634,7.333754129716572,17.530864197530864,1141,775,2304,6,0.0007042253521126761
18,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,26,35,-0.14754098118785278,0.059108527074507235,19.88372093023256,0.8,8.273488372093025,19.88372093023256,1368,1009,3140,3,0.0005847953216374269
